page_name,Link,Record Count
Zalando,https://www.facebook.com/ads/library/?id=1395248975360782,546
Zalando,https://www.facebook.com/ads/library/?id=1009092628123373,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1767223961102026,546
ABOUT YOU,https://www.facebook.com/ads/library/?id=1228861705996915,546
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1597551254719118,546
Zalando,https://www.facebook.com/ads/library/?id=1391227895722250,546
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=757147627231793,546
Zalando,https://www.facebook.com/ads/library/?id=727512330357357,546
SNYKS,https://www.facebook.com/ads/library/?id=784878634350571,520
SNYKS,https://www.facebook.com/ads/library/?id=1951239308810203,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1344399757564114,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1470929924203452,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1167899798627046,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=942059995426137,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1469417354583043,520
Zalando,https://www.facebook.com/ads/library/?id=1325569022719113,520
Boozt.com,https://www.facebook.com/ads/library/?id=1273783264180674,520
Zalando,https://www.facebook.com/ads/library/?id=909367821467126,520
Zalando,https://www.facebook.com/ads/library/?id=1457382195796457,520
Modivo,https://www.facebook.com/ads/library/?id=1420889123173480,520
Zalando,https://www.facebook.com/ads/library/?id=1446650993616987,520
Zalando,https://www.facebook.com/ads/library/?id=1260930742541593,520
Weekend.lv,https://www.facebook.com/ads/library/?id=1680107942622136,520
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=781474781351592,520
Zalando,https://www.facebook.com/ads/library/?id=878406401790503,520
Ballzy Latvija,https://www.facebook.com/ads/library/?id=26197119743277984,520
Modivo,https://www.facebook.com/ads/library/?id=975379301544045,520
Zalando,https://www.facebook.com/ads/library/?id=1528945265049493,520
Zalando,https://www.facebook.com/ads/library/?id=26261358566847052,520
Modivo,https://www.facebook.com/ads/library/?id=1362297349065926,520
Ballzy Lietuva,https://www.facebook.com/ads/library/?id=953025477226081,520
Zalando,https://www.facebook.com/ads/library/?id=1874727759903050,520
Zalando,https://www.facebook.com/ads/library/?id=2735456540132951,520
Zalando,https://www.facebook.com/ads/library/?id=1665912954370498,520
Zalando,https://www.facebook.com/ads/library/?id=2325484794541971,520
Modivo,https://www.facebook.com/ads/library/?id=3081258135598295,520
Zalando,https://www.facebook.com/ads/library/?id=2087254508794525,520
Modivo,https://www.facebook.com/ads/library/?id=1369216565017028,520
JD Sports,https://www.facebook.com/ads/library/?id=851274227855069,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1538846400922700,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=3829082437388070,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1983029592304246,520
Zalando,https://www.facebook.com/ads/library/?id=1643330946850441,520
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=1718169469521593,520
Modivo,https://www.facebook.com/ads/library/?id=1708138540545670,520
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=1414403969839938,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=2207457723393533,520
Zalando,https://www.facebook.com/ads/library/?id=1210049694402569,520
Modivo,https://www.facebook.com/ads/library/?id=950911827860516,520
Zalando,https://www.facebook.com/ads/library/?id=1520161525721427,520
Zalando,https://www.facebook.com/ads/library/?id=26271843879172600,520
Boozt.com,https://www.facebook.com/ads/library/?id=1342276324330059,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1468036821502767,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=663945610102249,520
Zalando,https://www.facebook.com/ads/library/?id=864867343241677,520
Lounge by Zalando,https://www.facebook.com/ads/library/?id=1250843326962814,520
Zalando,https://www.facebook.com/ads/library/?id=786289910666673,520
Zalando,https://www.facebook.com/ads/library/?id=2100115364103168,520
JD Sports Lithuania,https://www.facebook.com/ads/library/?id=1216438687237554,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1625808088702256,520
Zalando,https://www.facebook.com/ads/library/?id=1968110554062182,520
Zalando,https://www.facebook.com/ads/library/?id=25557025943928144,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1265428315719516,520
Zalando,https://www.facebook.com/ads/library/?id=875794795503172,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=946419411632447,520
ABOUT YOU,https://www.facebook.com/ads/library/?id=1425654162689178,520
Modivo,https://www.facebook.com/ads/library/?id=1536876004760414,520
